Word,Val,AbsVal,Sent,AbsSent,DominantModality
abrasive,5.398113208,0.843700622,0.194851852,0.486741904,Touch
absorbent,5.876666667,0.886794227,0.147041667,0.517712259,Sight
aching,5.233369565,1.187834297,0.054022989,0.581149967,Touch
acidic,5.539591837,1.094426701,0.140979167,0.550524759,Taste
acrid,5.173947368,1.198603117,0.27927027,0.752406679,Smell
adhesive,5.24,0.704821556,0.191047619,0.427764896,Touch
alcoholic,5.557227723,1.297204591,0.319635417,0.589180028,Taste
alive,6.040952381,1.15744753,-0.081378788,0.436801603,Sight
amber,5.720549451,0.98872315,0.509806818,0.679473047,Sight
angular,5.477615894,0.771201857,0.082993056,0.50379992,Sight
antiseptic,5.511794872,1.034930669,0.08225641,0.634669083,Smell
aromatic,5.952941176,1.153099047,0.528716418,0.638933108,Smell
astringent,5.965,1.184922458,0.409052632,0.842423532,Taste
audible,5.351283784,1.052645342,-0.020659574,0.558118006,Sound
banging,5.706666667,1.172051024,0.247222222,0.318783012,Sound
barbecued,6.052777778,1.240213159,0.645368421,0.917268943,Taste
barking,5.696315789,1.211740606,0.240058824,0.618296889,Sound
beautiful,5.819057493,1.094074032,0.30241619,0.609696419,Sight
beeping,4.898,0.681538771,-0.0416,0.407190578,Sound
beery,6.072142857,1.711373184,0.300266667,0.859998953,Taste
beige,5.585794393,0.775966532,0.250476636,0.501792238,Sight
bent,5.382307692,0.644934697,0.148606299,0.410828379,Sight
big,5.279962335,1.010275059,0.073129602,0.630690464,Sight
bitter,5.124433249,1.295432917,-0.088536082,0.712386112,Taste
black,5.314124016,0.946227064,0.082560516,0.654928223,Sight
bland,5.752285714,1.030387858,0.230095238,0.720230815,Taste
blaring,5.275555556,1.121794786,-0.285444444,0.926338568,Sound
bleeping,5.12,0.838717691,-0.075,0.200338568,Sound
blonde,5.523850932,1.080950505,0.196423313,0.541344811,Sight
bloody,5.062922201,1.14708936,0.067457364,0.61476454,Sight
blotchy,5.692,0.805691843,0.0684,0.163596859,Sight
blue,5.57398622,0.870116971,0.30159042,0.591372228,Sight
blunt,5.225740741,0.940279923,-0.14087013,0.56955579,Touch
boiling,5.467142857,0.968486549,0.443638298,0.710686865,Sight
booming,5.528,0.94826207,0.13847561,0.635381496,Sound
bouncy,6.130857143,1.174746656,0.225705882,0.432004619,Touch
brackish,5.846363636,1.278461046,0.41875,0.891917975,Touch
branching,5.616551724,0.733182624,0.083285714,0.501002243,Sight
breakable,5.778333333,0.715768715,0.3748,0.424009422,Sight
breezy,5.993287671,1.080252315,0.137514706,0.554991298,Sight
bright,5.744751381,0.975360081,0.292201818,0.58953661,Sight
brilliant,5.725644531,1.040307563,0.153002012,0.575518398,Sight
briny,5.854210526,1.410930726,0.601631579,0.860166986,Taste
bristly,5.487931034,0.710079175,0.21075,0.394683058,Touch
brittle,5.687473684,0.989100864,0.129706522,0.53992562,Touch
broad,5.507315951,0.902034811,0.073175079,0.604878549,Sight
broken,5.542655678,0.83361053,0.210868472,0.539069318,Sight
brown,5.470278638,0.905534344,0.2127366,0.565539475,Sight
bulky,5.424375,0.804525698,-0.013833333,0.509406535,Sight
bumpy,5.566727273,0.779691843,0.411571429,0.459580963,Touch
burning,5.284299287,1.023708932,0.191967419,0.55767471,Smell
burnt,5.688061224,1.067432949,0.395278351,0.671138715,Smell
bursting,5.030666667,0.697897281,0.158214286,0.3746451,Sight
buttery,5.981587302,1.137374319,0.710060606,0.777586702,Taste
buzzing,5.304186047,1.024132181,0.1234,0.529800349,Sound
charred,5.445233645,0.932745857,0.07051,0.61749157,Sight
cheesy,5.712931034,1.050198459,-0.023553571,0.776446989,Taste
chewy,6.031666667,1.19535851,0.844375,0.862762759,Taste
chilly,5.646640625,1.112145094,0.354584746,0.638912635,Touch
chubby,5.797,1.128784089,0.113319149,0.484297538,Sight
circular,5.500909091,0.806298707,0.236855124,0.573049099,Sight
citrusy,6.394166667,1.404294227,0.767166667,1.068507852,Taste
clammy,5.379714286,0.88707668,0.249882353,0.549476131,Touch
clamorous,5.485882353,1.151357147,0.316588235,0.53894949,Touch
clean,5.519521989,0.928112601,0.123771203,0.500923913,Sight
clear,5.441101591,0.985005812,-0.007715006,0.613408866,Sight
cloudy,5.802820513,1.018914711,0.382493333,0.547138568,Sight
cloying,5.882222222,1.263218829,0.277192308,0.798193516,Taste
cold,5.441072797,1.06014217,0.289351105,0.65307916,Touch
colorful,5.733112245,0.899834659,0.17256266,0.54775181,Sight
colossal,4.809586207,1.172870021,-0.147886525,0.695813041,Sight
compact,5.610840336,0.739411342,0.187937778,0.458038836,Sight
conical,5.315897436,0.743648618,0.114947368,0.420424359,Sight
contoured,5.273809524,0.563589412,-0.028590909,0.38749429,Sight
cooing,5.44625,1.227788268,0.239125,0.815128926,Sound
cool,5.733410138,1.028034568,0.252304075,0.576385448,Touch
crackling,5.406304348,0.927474714,0.442822222,0.649450377,Sound
